alu	?Are?are
hmd	A-Hmao
apq	A-Pucikwar
aot	A'tong
aiw	Aari
aas	Aasax
utp	Aba
abg	Abaga
abf	Abai Sungai
abm	Abanyom
aau	Abau
abq	Abaza
aba	Ab?
abe	Abenaki
abp	Abenlen Ayta
aum	Abewa
abi	Abidji
bsa	Abinomn
axb	Abipon
ash	Abishira
ab	Abkhaz
aob	Abom
abo	Abon
abr	Abron
ado	Abu
aah	Abu' Arapesh
abn	Abua
abz	Abui
kgr	Abun
abl	Abung
abu	Abure
mgj	Abureni
fra-aca	Acadian French
tpx	Acatepec Me'phaa
ace	Acehnese
aca	Achagua
acn	Achang
yif	Ache
guq	Ach?
acz	Acheron
acr	Achi
ach	Acholi
acu	Achuar
acv	Achumawi
acs	Acro?
adb	Adabe
xad	Adai
ads	Adamorobe Sign Language
adn	Adang
adq	Adangbe
ada	Adangme
adp	Adap
tiu	Adasen
ade	Adele
adh	Adhola
adi	Adi
adj	Adioukrou
ort	Adivasi Oriya
gas	Adiwasi Garasia
ajg	Adja
adt	Adnyamathanha
adr	Adonara
adu	Aduge
ady	Adyghe
adz	Adzera
aez	Aeka
awi	Aekyom
xae	Aequian
aeq	Aer
aal	Afade
aa	Afar
afg	Afghan Sign Language
aft	Afitti
ulf	Afra
afh	Afrihili
af	Afrikaans
afs	Afro-Seminole Creole
agd	Agarabi
agi	Agariya
agc	Agatu
avo	Agavotaguerra
agq	Aghem
ahh	Aghu
gtu	Aghu Tharrnggala
agx	Aghul
xag	Aghwan
aif	Agi
kit	Agob
ibm	Agoi
agu	Aguacateco
aga	Aguano
agr	Aguaruna
aug	Aguna
msm	Agusan Manobo
agn	Agutaynen
yay	Agwagwune
ahn	?h?n
aha	Ahanta
thm	Aheu
ahr	Ahirani
aho	Ahom
aht	Ahtna
nfd	Ahwai
aih	Ai-Cham
aix	Aighon
tba	Aikan?
mwg	Aiklep
aiq	Aimaq
ail	Aimele
aim	Aimol
aic	Ainbai
ain	Ainu
aki	Aiome
air	Airoran
aio	Aiton
nfl	Aiwoo
aja	Aja
ajw	Ajawa
aji	Aji?
cpc	Ajy?ninka Apurucayali
akq	Ak
soh	Aka
abj	Aka-Bea
akm	Aka-Bo
aci	Aka-Cari
akx	Aka-Kede
aky	Aka-Kol
ack	Aka-Kora
ak	Akan
acl	Akar-Bale
aks	Akaselem
ake	Akawaio
aik	Ake
keu	Akebu
tsr	Akei
aeu	Akeu
ahk	Akha
akv	Akhvakh
akk	Akkadian
sia	Akkala Sami
akl	Aklanon
akt	Akolet
bss	Akoose
miw	Akoye
akf	Akpa
ibe	Akpes
afi	Akrukay
ayk	Akuku
aku	Akum
aqz	Akuntsu
ako	Akurio
bey	Akuwagel
akw	Akwa
syy	Al-Sayyid Bedouin Sign Language
alw	Alaba
akz	Alabama
dul	Alabat Island Agta
mim	Alacatlatzala Mixtec
ala	Alago
wbj	Alagwa
alk	Alak
amp	Alamblak
alj	Alangan
xln	Alanic
apv	Alapmunte
btz	Alas-Kluet Batak
alh	Alawa
sq	Albanian
sqk	Albanian Sign Language
xta	Alcozauca Mixtec
alf	Alege
gah	Alekano
gsw	Alemannic German
ale	Aleut
arq	Algerian Arabic
aao	Algerian Saharan Arabic
asp	Algerian Sign Language
alq	Algonquin
aiy	Ali
ald	Alladian
all	Allar
aid	Alngith
ypo	Alo Phola
zaq	Alo?pam Zapotec
aol	Alor
aes	Alsea
mte	Alu
xua	Alu Kurumba
aub	Alugu
aab	Alumu-Tesu
alp	Alune
yna	Aluo
alz	Alur
ems	Alutiiq
alr	Alutor
avd	Alviri-Vidari
aly	Alyawarr
amm	Ama
amq	Amahai
amc	Amahuaca
ali	Amaimon
aad	Amal
amn	Amanab
ama	Amanay?
aie	Amara
amr	Amarakaeri
aaz	Amarasi
zpo	Amatl?n Zapotec
rwm	Amba
amk	Ambai
aew	Ambakich
abc	Ambala Ayta
amv	Ambelau
ael	Ambele
alm	Amblong
amb	Ambo
abs	Ambonese Malay
aag	Ambrak
apo	Ambul
abt	Ambulas
amj	Amdang
adx	Amdo Tibetan
aey	Amele
ase	American Sign Language
ifa	Amganad Ifugao
am	Amharic
amy	Ami
ami	Amis
sem-amm	Ammonite
amo	Amo
alx	Amol
mbz	Amoltepec Mixtec
apg	Ampanang
aqd	Ampari Dogon
ajz	Amri Karbi
amt	Amto
adw	Amundava
amg	Amurdag
amu	Amuzgo
dti	Ana Tinga Dogon
anw	Anaang
akg	Anakalangu
anm	Anal
pda	Anam
aan	Anamb?
imi	Anamgura
bpo	Anasi
acb	?nc?
grc	Ancient Greek
xlg	Ancient Ligurian
xmk	Ancient Macedonian
xna	Ancient North Arabian
xzp	Ancient Zapotec
afd	Andai
ajn	Andajin
xaa	Andalusian Arabic
hca	Andaman Creole Hindi
ana	Andaqui
aod	Andarum
adg	Andegerebinha
anr	Andh
ani	Andi
bzb	Andio
anb	Andoa
ano	Andoque
anx	Andra-Hus
aty	Aneityum
anz	Anem
aby	Aneme Wake
myo	Anfillo
agm	Angaataha
aqt	Angait?
age	Angal
aoe	Angal Enen
akh	Angal Heneng
njm	Angami
anc	Angas
yli	Angguruk Yali
anp	Angika
avm	Angkamuthi
akb	Angkola Batak
rme	Angloromani
aoa	Angolar
agg	Angor
aog	Angoram
tnd	Angosturas Tunebo
awg	Anguthimri
ypn	Ani Phowa
blo	Anii
anf	Animere
aoi	Anindilyakwa
boj	Anjam
aak	Ankave
amx	Anmatyerre
fab	Annobonese
nun	Anong
anj	Anor
ans	Anserma
and	Ansus
ant	Antakarinya
aig	Antigua and Barbuda Creole English
gcf	Antillean Creole
anl	Anu
anu	Anuak
cko	Anufo
aui	Anuki
auq	Anus
aud	Anuta
any	Anyi
mtb	Anyin Morofo
njo	Ao
pni	Aoheng
aor	Aore
kbx	Ap Ma
xap	Apalachee
apy	Apala?
ena	Apali
mip	Apasco-Apoala Mixtec
apt	Apatani
api	Apiak?
apn	Apinay?
app	Apma
ahp	Aproumu Aizi
apu	Apurin?
apx	Aputai
xaq	Aquitanian
ard	Arabana
arl	Arabela
ar	Arabic
an	Aragonese
akr	Araki
rkw	Arakwal
atq	Aralle-Tabulahan
arc	Aramaic
aam	Aramanik
stk	Arammba
aaf	Aranadan
xrt	Aranama-Tamique
jbj	Arandai
aro	Araona
arp	Arapaho
arj	Arapaso
arr	Arara-Karo
xaj	Ararandew?ra
arw	Arawak
awt	Arawet?
awm	Arawum
aae	Arb?resh? Albanian
arv	Arbore
aqc	Archi
pka	Ardhamagadhi Prakrit
mwc	Are
aea	Areba
aem	Arem
aed	Argentine Sign Language
agj	Argobba
agf	Arguni
aqr	Arh?
aok	Arh?
arh	Arhuaco
aac	Ari
laz	Aribwatsa
ylu	Aribwaung
aai	Arifama-Miniafia
aqg	Arigidi
ark	Arikap?
ari	Arikara
ait	Arikem
xrn	Arin
luc	Aringa
aoh	Arma
xrm	Armazic
hy	Armenian
aen	Armenian Sign Language
rup	Aromanian
apr	Arop-Lokep
aps	Arop-Sissano
aia	Arosi
atz	Arta
aru	Arua
arx	Aru?
msy	Aruamu
aur	Aruek
lsr	Aruop
atx	Arutani
aat	Arvanitika Albanian
asz	As
mtv	Asaro'o
asd	Asas
cni	Ash?ninka
ahs	Ashe
cjo	Ash?ninka Pajonal
prq	Ash?ninka Peren?
ask	Ashkun
csh	Asho Chin
atn	Ashtiani
bno	Asi
asl	Asilulu
eiv	Askopan
asv	Asoa
as	Assamese
xss	Assan
sjg	Assangori
asb	Assiniboine
aii	Assyrian Neo-Aramaic
ast	Asturian
asa	Asu
psa	Asue Awyu
aua	Asumboa
zoo	Asunci?n Mixtepec Zapotec
asr	Asuri
atm	Ata
atd	Ata Manobo
aqp	Atakapa
amz	Atampaya
mib	Atatl?huca Mixtec
tay	Atayal
ate	Atemble
teo	Ateso
aph	Athpare
atk	Ati
atj	Atikamekw
aqm	Atohwaim
ato	Atong
aox	Atorada
atc	Atsahuaca
cch	Atsam
atw	Atsugewi
pkr	Attapady Kurumba
ati	Atti?
ocu	Atzingo Matlatzinca
avt	Au
auj	Augila
kud	Auhelawa
djk	Aukan
aul	Aulua
aux	Aur?
auh	Aushi
avs	Aushiri
asf	Auslan
aut	Austral
asw	Australian Aboriginal Sign Language
zma	Australian Manda
asq	Austrian Sign Language
gip	Austronesian Gimi
hob	Austronesian Mari
mhz	Austronesian Mor
smf	Auwe
auy	Auyana
auu	Auye
auo	Auyokawa
avv	Av?-Canoeiro
av	Avar
avn	Avatime
avb	Avau
tmb	Avava
ae	Avestan
avi	Avikam
avu	Avokaya
vwa	Awa (China)
awb	Awa (New Guinea)
kwi	Awa-Cuaiquer
awk	Awabakal
bcu	Awad Bing
awa	Awadhi
awo	Awak
aya	Awar
awx	Awara
awh	Awbono
bob	Aweer
awr	Awera
awe	Awet?
azo	Awing
awn	Awngi
kmn	Awtuw
yiu	Awu
aww	Awun
afu	Awutu
auw	Awyi
ahb	Axamb
yix	Axi Yi
ayd	Ayabadhu
vmy	Ayautla Mazatec
aye	Ayere
axe	Ayerrerenge
ayq	Ayi
yyz	Ayizi
ayb	Ayizo Gbe
ay	Aymara
aib	Aynu
zaf	Ayoquesco Zapotec
ayo	Ayoreo
ayu	Ayu
miy	Ayutla Mixtec
az	Azeri
aza	Azha
yiz	Azhe
tpc	Azoy? Me'phaa
kwb	Baa
drl	Baagandji
bvj	Baan
bqx	Baangi
bba	Baatonum
bbw	Baba
mbf	Baba Malay
bbz	Babalia Creole Arabic
bbm	Babango
bbk	Babanki
baa	Babatana
bcr	Babine
bav	Babungo
bzg	Babuza
bcy	Bacama
btj	Bacanese Malay
xbc	Bactrian
bhz	Bada
bfq	Badaga
bau	Badanchi
bde	Bade
bdz	Badeshi
khd	B?di Kanum
bia	Badimaya
bac	Badui
pbp	Badyara
bvd	Baeggu
pkc	Baekje
bvc	Baelelea
btr	Baetora
bfj	Bafanji
bwt	Bafaw-Balong
ksf	Bafia
bfd	Bafut
bcg	Baga Binari
bqf	Baga Kaloum
bgo	Baga Koga
bmd	Baga Manduri
bgm	Baga Mboteni
bsp	Baga Sitemu
bsv	Baga Soban?
ngd	Bagandou
bfy	Bagheli
bmi	Bagirmi
bqg	Bago-Kusuntu
bgq	Bagri
bpi	Bagupi
bqb	Bagusa
kva	Bagvalal
yha	Baha Buyang
bdw	Baham
bah	Bahamian Creole
abv	Baharna Arabic
bhv	Bahau
bjh	Bahinemo
bhj	Bahing
bdq	Bahnar
bsu	Bahonsuai
bdj	Bai
bbf	Baibai
bkx	Baikeno
bqh	Baima
bmx	Baimak
bcz	Bainouk-Gunyaamolo
bab	Bainouk-Gunyu?o
bcb	Bainouk-Samik
bsw	Baiso
fah	Baissa Fali
bjs	Bajan
bjm	Bajelani
bkc	Baka
bkq	Bakair?
bqz	Bakaka
bqi	Bakhtiari
bki	Baki
bkh	Bakoko
kme	Bakole
bbs	Bakpinka
bbu	Bakulung
bkr	Bakumpai
xkl	Bakung
bjw	Bakw?
bls	Balaesang
blw	Balangao
sse	Balangingi
bjt	Balanta-Ganja
ble	Balanta-Kentohe
blz	Balantak
blg	Balau
bdn	Baldemu
bcp	Bali
ban	Balinese
mhp	Balinese Malay
bgx	Balkan Gagauz Turkish
rmn	Balkan Romani
bqo	Balo
biz	Baloi
bft	Balti
rml	Baltic Romani
blq	Baluan-Pam
bal	Baluchi
bog	Bamako Sign Language
bbq	Bamali
bmo	Bambalang
ptu	Bambam
bm	Bambara
myf	Bambassi
baw	Bambili-Bambui
bce	Bamenyam
bcf	Bamu
bqt	Bamukumbit
bax	Bamum
bvm	Bamunka
bmg	Bamwe
bfk	Ban Khor Sign Language
bcw	Bana
vrt	Banam Bay
bjx	Banao Itneg
byz	Banaro
bnd	Banda
bpq	Banda Malay
liy	Banda-Bambari
bpd	Banda-Banda
bqk	Banda-Mbr?s
bfl	Banda-Nd?l?
yaj	Banda-Yangere
bza	Bandi
bqj	Bandial
bdy	Bandjalang
bxg	Bangala
nmj	Bangando-Ngombe
bgf	Bangandu
bbe	Bangba
bgz	Banggai
bjb	Banggarla
bni	Bangi
dba	Bangi Me
mfb	Bangka
bgj	Bangolan
bnx	Bangubangu
bsj	Bangwinji
bvv	Baniva
bwi	Baniwa
bjn	Banjarese
bxw	Bankagooma
dbw	Bankan Tey Dogon
abb	Bankon
bcm	Bannoni
bap	Bantawa
bfx	Bantayanon
bnq	Bantik
map-bms	Banyumasan
bci	Baoule
brd	Baraamu
bbb	Barai
baj	Barakai
kys	Baram Kayan
bbg	Barama
brm	Barambu
bmz	Baramu
brp	Barapasi
brs	Baras
bsn	Barasana
bpb	Barbacoas
boi	Barbare?o
gry	Barclayville Grebo
bcj	Bardi
bae	Bar?
bva	Barein
mlp	Bargam
bfa	Bari
mot	Bar?
bch	Bariai
bjc	Bariji
bxo	Barikanchi
bjk	Barok
bbi	Barombi
tbn	Barro Negro Tunebo
bpt	Barrow Point
bjz	Baruga
byr	Baruya
bwg	Barwe
